id,release_date,runtime,imdb_id,title,revenue,photo_url,genre,homepage,directors,writers
20662,2010-05-12,140,tt0955308,Robin Hood,321669741,https://image.tmdb.org/t/p/original/9NS5QGOfck24yL3bZqWeW06PgPC.jpg,Adventure,http://www.robinhoodthemovie.com/,"578,190914,1404875,1528429,1942748,1987931","4723,56860,70574"
91745,2013-09-12,118,tt1645131,Romeo & Juliet,1162635,https://image.tmdb.org/t/p/original/9FZ3wTjY9rUvIoobJFv8ozoTwTT.jpg,"Drama,Romance",,"87695,1386215,1444970,1813983","6210,10747"
11,1977-05-25,121,tt0076759,Star Wars,775398007,https://image.tmdb.org/t/p/original/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,"Adventure,Action,Science Fiction",http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,"1,10706,1250477,1697237,1877790,2583875",1
1891,1980-05-20,124,tt0080684,The Empire Strikes Back,538400000,https://image.tmdb.org/t/p/original/2mObg4LWxo4BicFUykGm6oauxHt.jpg,"Adventure,Action,Science Fiction",http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,"16589,10930,23858,75796,568911,1117367,1213681,1575391,1649183","1,4298,8844"
1892,1983-05-25,135,tt0086190,Return of the Jedi,572700000,https://image.tmdb.org/t/p/original/mDCBQNhR6R0PVFucJl0O4Hp5klZ.jpg,"Adventure,Action,Science Fiction",http://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,"1,5058,19800,75796,1117367,1213681,1223799,1476342,1593097,2377655","1,8844"
1893,1999-05-19,136,tt0120915,Star Wars: Episode I - The Phantom Menace,924317558,https://image.tmdb.org/t/p/original/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg,"Adventure,Action,Science Fiction",http://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,"1,5058,17599,46294,1127669,1223799,1233956,1342669,1373729,1581745,1613281,1833315,1964523,2103147,2309236,2650243",1
1894,2002-05-15,142,tt0121765,Star Wars: Episode II - Attack of the Clones,649398328,https://image.tmdb.org/t/p/original/oZNPzxqM2s5DyVWab09NTQScDQt.jpg,"Adventure,Action,Science Fiction",,"1,11266,75770,1117749,1184968,1342669,1675351,1767889,2015775,2037450,2103147,2149575,2249022,2603043,2650291","1,19802"
1895,2005-05-17,140,tt0121766,Star Wars: Episode III - Revenge of the Sith,850000000,https://image.tmdb.org/t/p/original/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,"Science Fiction,Adventure,Action",http://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,"1,488,1153775,1342669,1387195,1631242,1821869,2005374,2015775,2103147,2151796,2250582,2301527,2623832,2650419",1
140607,2015-12-15,136,tt2488496,Star Wars: The Force Awakens,2068223624,https://image.tmdb.org/t/p/original/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,"Action,Adventure,Science Fiction,Fantasy",http://www.starwars.com/films/star-wars-episode-vii,"15344,123423,1324660,1339450,1345718,1379059,1403421,1411325,1534585,1550635,1635183,1734467,1739551,1750922,1775681,1790331,1855062,2040355,2151747,2151796,2151801,2151846,2151847,2168354,2500608,2622605,2624619,2651718,2651721,2651723,2651724,2651725,2651731,2651733","1,8844,16961,15344"
181812,2019-12-18,142,tt2527338,Star Wars: The Rise of Skywalker,1074144248,https://image.tmdb.org/t/p/original/db32LaOibwEliAmSL2jjDF6oDdj.jpg,"Action,Adventure,Science Fiction",https://www.starwars.com/films/star-wars-episode-ix-the-rise-of-skywalker,"15344,1358025,1379059,1403421,1750922,1758947,2062956,2168354,2611310,2611311,2611315,2611316","1,15344,131680,930707,1020013"
181808,2017-12-13,152,tt2527336,Star Wars: The Last Jedi,1332539889,https://image.tmdb.org/t/p/original/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg,"Science Fiction,Action,Adventure",https://www.starwars.com/films/star-wars-episode-viii-the-last-jedi,"67367,1337422,1389538,1425515,1484013,1512798,1538164,1559588,1758947,1821634,2000381,2062956,2062997,2063000,2063001,2063509,2248390,2385765,2399181,2493371,2563804,2611310,2619146,2624664,2651734,2659268,2659269,2659270,2659287,2659288,2659290,2659292","1,67367"
