id,first_air_date,last_air_date,seasons,episodes,runtime,imdb_id,title,photo_url,genre,homepage,directors,writers
918,1972-09-17,1983-02-28,11,251,25,,M*A*S*H,https://image.tmdb.org/t/p/original/6rhuM3oMoEWKxAdrm7IyM8oq8cC.jpg,"War & Politics,Drama,Comedy",,"153749,21278,1221170,14874,120552,148601,55278,580677,4073,34421,46603,18267,64811,28010,55456,256124,55449,85840,151333,1217158,170115,158955,13779,83413,150181,51313,55432,133115,70008,151502,90520,1214582,107011,1217165","1221213,64811,1214853,1221215,9791,64390,9790,1221211,1221212,1221209,151603,1213816,1221208,1221210,1221214,1221216,1213771,167482,18267,153281,85844,21278,340398,1212545,1212544,1213327,1212560,14874,1215831,1217780,14641,1221204,85843,1217136,1213877,158938,5960,55273,55461,1217133,1221189,151298,11956,1218837,1221182,1221203,1221175,1255361,1217380,1221170,70738,1965760,1216435,73038,73037,1221183,1965758,1221181,1218842,55451,157272,55458,1221178,1221191,1221192,3189419,1219852,11034,1213235,1221186,1213999,3189431,1792795,2101025,1965757,1965469,1221193,1658436,1965752,1221190"
1104,2007-07-19,2015-05-17,7,92,47,,Mad Men,https://image.tmdb.org/t/p/original/vSmz16JRjaLkALDUbzAFCkpw4V9.jpg,Drama,http://www.amc.com/shows/mad-men,"1341766,1214445,1223187,1222229,1187819,15798,15858,21134,1215659,1098051,47005,65717,1213175,116805,90492,1212522,56714,15440,23393,167786","1187819,158250,1215370,1222226,1222225,1216543,1757552,1222224,1757553,1219589,1757586,1213785,149495,1223184,82569,1223179,1222232,1222230,1633581,82937,208214,69019,1757549,1667276,220564,1502350,13861,59670,1502349,1224261"
4614,2003-09-23,2021-11-08,19,430,45,,NCIS,https://image.tmdb.org/t/p/original/lSTchtc26YNdOjdKvZtLs22SokL.jpg,"Crime,Action & Adventure,Drama",http://www.cbs.com/shows/ncis/,"1218791,1219869,102638,87472,8573,167165,155598,128172,27448,163105,1212287,1371115,66240,121767,44131,1176289,134696,1213008,1214045,108250,122727,1224653,160145,55270,1224089,97847,163198,29779,33056,92933,1214400,16214,109095,70777,83996","1237600,155129,155128,1237602,1237598,1216005,1216164,1237620,1231154,160145,1223989,1310477,1555642,150663,1221018,1630938,2179752,1218788,29901,1367008,1228518,1224677,1821554,2179723,2179724,40053,1226227,69396,1227944,71527,2451094,1232954,1718873,1225880,1228683,1218781,57447,1215438,1237608,1216762,1216761,1219499,1221117,1214715,1324451,1223966,1224879,2158396,2843192,1300685,2179758,1589213,2497509,162156,1432668,1813658,1868591"
1424,2013-07-11,2019-07-26,7,91,60,,Orange Is the New Black,https://image.tmdb.org/t/p/original/ekaa7YjGPTkFLcPhwWXTnARuCEU.jpg,"Comedy,Drama",https://www.netflix.com/title/70242311,"37041,1214406,1214445,1218039,2609135,95519,1399096,51853,18974,1722200,1038,130816,111338,10871,123895,1215145,1219584,1341766,107658,154865,47640,937282,56714,223551,3110,1216147,1187819,114597,56539","1925710,2659450,1214409,2659453,1757549"
69740,2017-07-21,2020-03-27,4,37,80,,Ozark,https://image.tmdb.org/t/p/original/oy7Peo5iFIt9sNM59lN6csbJeX2.jpg,"Crime,Drama",https://www.netflix.com/title/80117552,"23532,1318704,1215659,103008,313,1404817,12632,1325241,1214445","1258079,1868654,1281388,137550,1452390,1243308,2232350,1150943,1650608,68901,29924,206574,2809200"
8592,2009-04-09,2015-02-24,7,125,22,,Parks and Recreation,https://image.tmdb.org/t/p/original/6Kv43MLJOOm6HxWFHcTQMtzD0J7.jpg,Comedy,http://www.nbc.com/parks-and-recreation/,"1290146,1226308,1212689,58868,1241313,1215572,154521,56539,1220517,1214406,1219584,87673,147113,1216630,56322,1212609,71600,1230199,1223146,157771,1020767,62863,17039,1214641,114597,29009,36801,89576,116805,74159,1096370,14172,84074,1254001,1532800,57195,1215424,2050726","1226308,1020767,1294737,1230199,1215424,1292220,1298804,1052684,1355653,56322,1224200,165810,1106222,1267201,1216629,1230181,1240868,1227242,2567581,74043,1229487,1356008,75556,1354981,1226281,1354982,1216630,1226914,80593,17039,1224765"
2288,2005-08-29,2017-05-30,5,88,45,,Prison Break,https://image.tmdb.org/t/p/original/5E1BhkCgjLBlqx557Z5yzcN0i88.jpg,"Action & Adventure,Crime,Drama",http://www.fox.com/prisonbreak,"111944,40230,56998,1215703,170115,25882,157730,166447,1212200,45627,9264,173957,1215140,1174226,42111,20833,40575,47020,11091,1224904,1214368,43786,43468,1213618,92933,1215143,1098,67576,41472,45642,101518","1215004,60048,78417,1214477,54869,204847,134175,1214469,1226647,1230678,225554,1228647"
39269,2012-04-05,2018-04-19,7,124,43,,Scandal,https://image.tmdb.org/t/p/original/svJUhL4GsueTrZw9Qw9QlPoqcE5.jpg,Drama,http://www.abc.go.com/shows/scandal,"155423,3417,1213560,1178964,20268,35595,16187,1940580,1744211,1118360,3977,108250,66497,1038019,1764295,35971,1214641,114597,1214368,53918,1550011","1428184,1320397,25539,1301121,1232288,1798769,1379192,1790275,1790276,1781734,1539830,1219569,1320396,1224075,1752819,1215681,155423,1906847,1379191,970836,969268,1999201"
61662,2015-01-13,2020-04-07,6,79,22,,Schitt's Creek,https://image.tmdb.org/t/p/original/iRfSzrPS5VYWQv7KVSEg2BZZL6C.jpg,Comedy,http://www.cbc.ca/schittscreek,"82641,1212571,1351024,1402358,1372761,43526,73499,1230368,1392152,135257","1392152,2942584,2942587,1212672,72140,2185584,1515474,2211699,3148236,1228379,26510,76416,1225938,1437358,1900242"
4556,2001-10-02,2010-03-17,9,182,24,,Scrubs,https://image.tmdb.org/t/p/original/u1z05trCA7AuSuDhi365grwdos1.jpg,Comedy,,"65506,1216859,1212689,58059,111338,1217930,1212755,94312,21475,157301,5367,57115,134678,154521,1214860,178926,189807,1237155,1237148,168442,87038,1222719,26730,1237149,116370,197803,1237159,1212911,14408,93395,154528,63513,2399355,1237160,151192","1237141,1237140,1216859,1224479,1224478,1222719,1224239,1228157,1222588,1237024,1237142,1224652,58061,1237157,1237156,1231150,1237167,1596972,1237169,1535915,1351289,1219572,1237158,1408170,1237144,1230914,1596982,2420288,1237165,1596979,1237160,1526,108250,1236981,1237164,1596971,1612078,1377192,1817692,1237168,1596970,163245,1230847,1230915,1229800,1237154,1366452,1237170,1237143,1237153,1237151,1237146"
